银行,机器学习评分,专家评分
招商银行,4.99,4.65
宁波银行,4.69,4.30
江苏银行,4.64,4.36
常熟农商行,4.63,3.90
成都银行,4.53,4.33
南京银行,4.47,4.31
江阴农商行,4.14,3.96
平安银行,3.99,3.58
无锡农商行,3.74,3.99
长沙银行,3.71,3.35
兴业银行,3.56,3.31
贵阳银行,3.54,3.49
杭州银行,3.52,3.71
中信银行,3.46,3.09
上海农商行,3.43,3.55
苏州农商行,3.28,3.31
重庆农商行,3.26,3.26
张家港农商行,3.25,3.16
苏州银行,3.22,3.06
瑞丰农商行,3.18,3.17
齐鲁银行,3.12,3.40
邮储银行,3.04,2.77
建设银行,2.93,3.01
青岛银行,2.90,2.61
上海银行,2.78,3.51
北京银行,2.60,2.80
华夏银行,2.56,2.47
光大银行,2.53,2.59
工商银行,2.49,2.83
浙商银行,2.24,2.09
中国银行,2.12,2.42
农业银行,2.06,2.29
交通银行,1.78,2.19
厦门银行,1.91,2.15
西安银行,1.62,2.12
浦发银行,1.74,1.79
郑州银行,1.65,1.94
紫金农商行,1.46,1.63
兰州银行,1.31,1.35
民生银行,1.21,1.27
重庆银行,,2.62
青岛农商行,,2.42
